,Unnamed: 0.1,Brand,Capacity in kgs,Type of Load,Spin_Speed in RPM,Customer_Rating,Colour,Sale_Price,Discount %,Price_Category,Rating_category
0,0,SAMSUNG,6.5, Fully Automatic Top Load,680.0,4.4,Silver,14590.0,13.0,Economical,Positive
1,1,SAMSUNG,6.5, Fully Automatic Top Load,700.0,4.3,Grey,16890.0,21.0,Economical,Positive
2,2,LG,7.0, Semi Automatic Top Load,1350.0,4.5,White,11490.0,28.0,Economical,Positive
3,3,realme,7.5, Fully Automatic Top Load,700.0,4.2,Grey,14290.0,15.0,Economical,Positive
4,4,LG,7.0, Fully Automatic Top Load,700.0,4.4,Silver,17990.0,28.0,Economical,Positive
5,5,LG,7.5, Semi Automatic Top Load,1300.0,4.5,Purple,12690.0,25.0,Economical,Positive
6,6,SAMSUNG,6.0, Fully Automatic Front Load,1000.0,4.4,White,22990.0,10.0,Premium,Positive
7,7,Whirlpool,7.0, Semi Automatic Top Load,1450.0,4.4,Grey,10490.0,13.0,Economical,Positive
8,8,LG,6.5, Fully Automatic Top Load,700.0,4.3,Silver,16490.0,6.0,Economical,Positive
9,9,Thomson,6.5, Semi Automatic Top Load,1400.0,4.1,Grey,7390.0,26.0,Economical,Positive
10,10,SAMSUNG,7.0, Semi Automatic Top Load,1350.0,4.4,Purple,10490.0,22.0,Economical,Positive
11,11,SAMSUNG,7.0, Fully Automatic Top Load,750.0,4.3,Silver,18690.0,12.0,Economical,Positive
12,12,Whirlpool,7.0, Fully Automatic Top Load,740.0,4.3,Grey,16590.0,24.0,Economical,Positive
13,13,LG,8.5,Washer only,1300.0,4.4,Silver,14990.0,14.0,Economical,Positive
14,14,IFB,6.0, Fully Automatic Front Load,800.0,4.2,White,22690.0,15.0,Premium,Positive
15,15,SAMSUNG,8.5, Semi Automatic Top Load,1350.0,4.4,Grey,13490.0,23.0,Economical,Positive
16,16,realme,7.0, Semi Automatic Top Load,1400.0,4.4,Black,8290.0,27.0,Economical,Positive
17,17,LG,6.5, Fully Automatic Front Load,1000.0,4.4,White,25990.0,20.0,Premium,Positive
18,18,MarQ,7.0, Semi Automatic Top Load,1350.0,4.2,White,7990.0,33.0,Economical,Positive
19,19,LG,11.0, Semi Automatic Top Load,1300.0,4.5,Black,17790.0,26.0,Economical,Positive
20,20,Whirlpool,7.5, Semi Automatic Top Load,1400.0,4.4,Grey,11490.0,21.0,Economical,Positive
21,21,CANDY,6.5, Fully Automatic Top Load,800.0,4.2,Grey,10990.0,26.0,Economical,Positive
22,22,Whirlpool,7.5, Fully Automatic Top Load,740.0,4.2,Grey,19499.0,13.0,Economical,Positive
23,23,MarQ,6.0, Semi Automatic Top Load,1350.0,4.3,Maroon,7390.0,16.0,Economical,Positive
24,24,IFB,6.5, Fully Automatic Front Load,740.0,4.2,Silver,24990.0,13.0,Premium,Positive
25,25,SAMSUNG,6.0, Fully Automatic Front Load,1000.0,4.4,White,23990.0,25.0,Premium,Positive
26,26,IFB,6.5, Fully Automatic Top Load,800.0,4.3,Grey,18590.0,15.0,Economical,Positive
27,27,ONIDA,7.0, Fully Automatic Top Load,720.0,4.2,Grey,14490.0,34.0,Economical,Positive
28,28,LG,6.0, Fully Automatic Front Load,750.0,4.4,White,24990.0,26.0,Premium,Positive
29,29,Haier,6.5, Fully Automatic Top Load,1350.0,4.3,Grey,13990.0,33.0,Economical,Positive
30,30,IFB,6.0, Fully Automatic Front Load,800.0,4.3,Silver,23790.0,14.0,Premium,Positive
31,31,Whirlpool,6.5, Fully Automatic Top Load,740.0,4.3,Grey,15390.0,13.0,Economical,Positive
32,32,Whirlpool,7.5, Semi Automatic Top Load,1400.0,4.4,Grey,11490.0,4.0,Economical,Positive
33,33,SAMSUNG,6.5, Semi Automatic Top Load,1000.0,4.4,Grey,9990.0,20.0,Economical,Positive
34,34,IFB,6.5,Washer only,720.0,4.3,Maroon,16590.0,15.0,Economical,Positive
35,35,ONIDA,6.5,Washer only,1200.0,4.3,Indigo,5490.0,5.0,Economical,Positive
36,36,SAMSUNG,8.0, Fully Automatic Front Load,1400.0,4.4,White,31990.0,19.0,Premium,Positive
37,37,SAMSUNG,7.0, Fully Automatic Front Load,780.0,4.4,White,27990.0,19.0,Premium,Positive
38,38,Godrej,7.0, Fully Automatic Top Load,1300.0,4.2,Grey,13990.0,29.0,Economical,Positive
39,39,BOSCH,7.0, Fully Automatic Front Load,720.0,4.4,White,28990.0,23.0,Premium,Positive
40,40,Croma,6.5, Semi Automatic Top Load,700.0,4.1,White,6990.0,41.0,Economical,Positive
41,41,LG,7.0, Fully Automatic Top Load,1000.0,4.3,Silver,19890.0,23.0,Economical,Positive
42,42,IFB,7.0, Fully Automatic Front Load,1000.0,4.3,Silver,29990.0,13.0,Premium,Positive
43,43,BOSCH,6.0, Fully Automatic Front Load,1200.0,4.4,White,24990.0,17.0,Premium,Positive
44,44,LG,7.0, Fully Automatic Front Load,1300.0,4.4,White,28990.0,25.0,Premium,Positive
45,45,SAMSUNG,6.0, Semi Automatic Top Load,1200.0,4.4,Purple,8990.0,9.0,Economical,Positive
46,46,Whirlpool,6.5, Semi Automatic Top Load,1400.0,4.4,Grey,9990.0,13.0,Economical,Positive
47,47,IFB,8.0, Fully Automatic Front Load,1300.0,4.2,White,33990.0,16.0,Premium,Positive
48,48,IFB,7.0, Fully Automatic Front Load,1400.0,4.3,Silver,29990.0,13.0,Premium,Positive
49,49,LG,8.0, Semi Automatic Top Load,700.0,4.5,Maroon,14990.0,15.0,Economical,Positive
50,50,Thomson,7.0, Semi Automatic Top Load,1400.0,4.1,Grey,7790.0,25.0,Economical,Positive
51,51,Whirlpool,6.0, Semi Automatic Top Load,700.0,4.4,Grey,9490.0,14.0,Economical,Positive
52,52,IFB,8.0, Fully Automatic Front Load,700.0,4.2,White,33990.0,16.0,Premium,Positive
53,53,Whirlpool,6.5, Semi Automatic Top Load,1400.0,4.4,Grey,9990.0,13.0,Economical,Positive
54,54,Godrej,6.2, Fully Automatic Top Load,1200.0,4.2,Grey,13090.0,31.0,Economical,Positive
55,55,realme,8.0, Fully Automatic Top Load,1400.0,4.2,Grey,16990.0,35.0,Economical,Positive
56,56,realme,8.5, Semi Automatic Top Load,670.0,4.4,Black,11490.0,39.0,Economical,Positive
57,57,SAMSUNG,7.5, Fully Automatic Top Load,1300.0,4.4,Silver,19590.0,15.0,Economical,Positive
58,58,Thomson,7.0,Washer only,800.0,4.1,Grey,4990.0,37.0,Economical,Positive
59,59,ONIDA,9.0,Washer only,1000.0,4.3,Blue,6490.0,7.0,Economical,Positive
60,60,Godrej,6.5, Fully Automatic Top Load,780.0,4.3,Grey,14990.0,14.0,Economical,Positive
61,61,Lifelong,7.5, Semi Automatic Top Load,1200.0,4.0,White,6990.0,39.0,Economical,Positive
62,62,ONIDA,8.0, Semi Automatic Top Load,1350.0,4.3,Grey,10290.0,24.0,Economical,Positive
63,63,BOSCH,8.0, Fully Automatic Front Load,680.0,4.4,Silver,35990.0,31.0,Premium,Positive
64,64,BOSCH,7.0, Fully Automatic Front Load,1400.0,4.4,Green,31990.0,19.0,Premium,Positive
65,65,Whirlpool,7.5, Fully Automatic Top Load,680.0,4.3,Grey,18190.0,14.0,Economical,Positive
66,66,MarQ,10.0, Semi Automatic Top Load,740.0,4.3,Grey,11890.0,32.0,Economical,Positive
67,67,White,6.0, Semi Automatic Top Load,1350.0,4.1,Maroon,6999.0,33.0,Economical,Positive
68,68,Sansui,8.5,1000,1000.0,4.2,White,9790.0,38.0,Economical,Positive
69,69,IFB,8.0, Fully Automatic Front Load,1200.0,4.4,White,37990.0,12.0,Premium,Positive
70,70,realme,8.0, Semi Automatic Top Load,1400.0,4.4,Black,11190.0,36.0,Economical,Positive
71,71,BOSCH,8.0, Fully Automatic Front Load,1400.0,4.4,White,32990.0,23.0,Premium,Positive
72,72,LG,8.0,Washer with Dryer,700.0,4.5,White,22990.0,12.0,Premium,Positive
73,73,MarQ,9.0, Semi Automatic Top Load,1400.0,4.3,Blue,10990.0,30.0,Economical,Positive
74,74,LG,8.0, Fully Automatic Front Load,1400.0,4.4,White,32990.0,28.0,Premium,Positive
75,75,LG,8.0, Semi Automatic Top Load,1300.0,4.5,White,14780.0,23.0,Economical,Positive
76,76,Godrej,6.2, Fully Automatic Top Load,700.0,4.2,Grey,13490.0,25.0,Economical,Positive
77,77,realme,7.0, Fully Automatic Front Load,1400.0,4.2,White,23990.0,40.0,Premium,Positive
78,78,Thomson,7.0,Washer only,780.0,4.1,Black,4990.0,27.0,Economical,Positive
79,79,Croma,6.5, Fully Automatic Top Load,680.0,4.0,Grey,11990.0,53.0,Economical,Positive
80,80,MOTOROLA,5.0, Fully Automatic Front Load,1400.0,4.2,White,29990.0,24.0,Premium,Positive
81,81,IFB,8.0, Fully Automatic Front Load,1400.0,4.3,Grey,39190.0,26.0,Premium,Positive
82,82,SAMSUNG,7.0, Fully Automatic Front Load,1200.0,4.3,White,30490.0,13.0,Premium,Positive
83,83,IFB,7.0, Fully Automatic Top Load,720.0,4.3,Grey,18190.0,12.0,Economical,Positive
84,84,BOSCH,8.0, Fully Automatic Front Load,1200.0,4.4,Silver,34990.0,27.0,Premium,Positive
85,85,MarQ,6.5, Semi Automatic Top Load,1350.0,4.3,White,7590.0,10.0,Economical,Positive
86,86,Whirlpool,7.0, Fully Automatic Top Load,740.0,4.3,Grey,17490.0,20.0,Economical,Positive
87,87,BOSCH,6.0, Fully Automatic Front Load,800.0,4.4,White,24490.0,19.0,Premium,Positive
88,88,Whirlpool,8.0, Semi Automatic Top Load,1400.0,4.4,Grey,14900.0,14.0,Economical,Positive
89,89,realme,6.5, Fully Automatic Top Load,700.0,4.2,Grey,13690.0,24.0,Economical,Positive
90,90,LG,9.0,Washer with Dryer,700.0,4.5,Grey,28000.0,16.0,Premium,Positive
91,91,Sansui,7.0, Semi Automatic Top Load,1300.0,4.2,White,8290.0,24.0,Economical,Positive
92,92,Thomson,6.5, Fully Automatic Top Load,700.0,4.2,Grey,11990.0,12.0,Economical,Positive
93,93,MOTOROLA,7.0, Fully Automatic Front Load,1400.0,4.2,White,24990.0,36.0,Premium,Positive
94,94,MarQ,8.0, Semi Automatic Top Load,1400.0,4.2,Maroon,9990.0,31.0,Economical,Positive
95,95,Sansui,6.5, Semi Automatic Top Load,1300.0,4.2,Maroon,7990.0,28.0,Economical,Positive
96,96,White,6.5, Semi Automatic Top Load,1300.0,4.1,Maroon,7499.0,31.0,Economical,Positive
97,97,Haier,6.5, Semi Automatic Top Load,1350.0,4.2,Maroon,8990.0,25.0,Economical,Positive
98,98,MarQ,7.5, Fully Automatic Top Load,680.0,4.3,Grey,13990.0,26.0,Economical,Positive
99,99,Whirlpool,6.0, Fully Automatic Front Load,1300.0,4.0,White,22990.0,34.0,Premium,Positive
100,100,Sansui,9.0, Semi Automatic Top Load,700.0,4.2,Maroon,10290.0,35.0,Economical,Positive
101,101,Midea,7.0, Fully Automatic Top Load,700.0,4.1,Grey,13190.0,34.0,Economical,Positive
102,102,LG,9.0, Semi Automatic Top Load,1200.0,4.5,White,16790.0,4.0,Economical,Positive
103,103,Thomson,5.0, Fully Automatic Front Load,1200.0,4.2,White,25990.0,35.0,Premium,Positive
104,104,SAMSUNG,7.0, Fully Automatic Front Load,1400.0,4.3,White,32990.0,17.0,Premium,Positive
105,105,MarQ,6.0, Fully Automatic Front Load,700.0,4.3,Silver,19990.0,18.0,Economical,Positive
106,106,Whirlpool,9.0, Semi Automatic Top Load,800.0,4.3,Grey,16490.0,4.0,Economical,Positive
107,107,Whirlpool,5.0, Semi Automatic Top Load,1200.0,4.5,Grey,17990.0,19.0,Economical,Positive
108,108,BOSCH,7.0, Fully Automatic Front Load,1000.0,4.4,White,30990.0,32.0,Premium,Positive
109,109,White,8.5, Fully Automatic Front Load,700.0,4.4,White,23499.0,29.0,Premium,Positive
110,110,Godrej,7.2, Semi Automatic Top Load,740.0,4.3,White,10590.0,15.0,Economical,Positive
111,111,Croma,7.5, Fully Automatic Top Load,1300.0,4.3,Grey,12990.0,45.0,Economical,Positive
112,112,MarQ,4.0, Fully Automatic Top Load,1200.0,4.3,Grey,20490.0,24.0,Premium,Positive
113,113,IFB,6.0, Fully Automatic Front Load,1200.0,4.0,White,24670.0,14.0,Premium,Positive
114,114,MarQ,7.5,1000,1000.0,4.4,White,5690.0,36.0,Economical,Positive
115,115,Whirlpool,7.0, Semi Automatic Top Load,1400.0,4.2,Grey,10490.0,14.0,Economical,Positive
116,116,Croma,7.0, Semi Automatic Top Load,680.0,4.3,White,8490.0,29.0,Economical,Positive
117,117,SAMSUNG,7.0, Semi Automatic Top Load,1400.0,4.1,Grey,11900.0,10.0,Economical,Positive
118,118,Whirlpool,7.5, Fully Automatic Top Load,1300.0,4.2,Grey,26590.0,21.0,Premium,Positive
119,119,ONIDA,6.5, Semi Automatic Top Load,700.0,4.3,Red,8290.0,18.0,Economical,Positive
120,120,Panasonic,6.5, Fully Automatic Top Load,700.0,4.3,Grey,14990.0,34.0,Economical,Positive
121,121,ONIDA,6.5, Semi Automatic Top Load,740.0,4.2,Red,8290.0,21.0,Economical,Positive
122,122,MOTOROLA,8.0, Fully Automatic Top Load,1300.0,4.2,Grey,16690.0,41.0,Economical,Positive
123,123,ONIDA,7.5, Fully Automatic Top Load,700.0,4.2,Grey,15490.0,38.0,Economical,Positive
124,124,Lloyd,8.0, Semi Automatic Top Load,1300.0,4.3,White,11090.0,6.0,Economical,Positive
125,125,LG,6.5, Fully Automatic Front Load,1200.0,4.5,White,31990.0,11.0,Premium,Positive
126,126,LG,8.0, Fully Automatic Front Load,1400.0,4.4,Silver,39990.0,10.0,Premium,Positive
127,127,IFB,7.0, Fully Automatic Top Load,720.0,4.3,Green,22690.0,24.0,Premium,Positive
128,128,Panasonic,7.0, Fully Automatic Top Load,1300.0,4.3,Grey,16790.0,20.0,Economical,Positive
129,129,BOSCH,7.0, Fully Automatic Top Load,1350.0,4.5,White,19990.0,35.0,Economical,Positive
130,130,IFB,6.5, Fully Automatic Front Load,1300.0,4.3,Silver,29990.0,10.0,Premium,Positive
131,131,LG,6.0, Semi Automatic Top Load,1400.0,4.2,Grey,10990.0,14.0,Economical,Positive
132,132,realme,8.0, Fully Automatic Front Load,800.0,4.4,White,25990.0,30.0,Premium,Positive
133,133,Lloyd,7.5, Semi Automatic Top Load,1300.0,4.3,White,10090.0,16.0,Economical,Positive
134,134,MarQ,8.0, Fully Automatic Top Load,1300.0,4.2,Black,14940.0,8.0,Economical,Positive
135,135,MOTOROLA,6.0, Fully Automatic Top Load,700.0,4.3,Grey,13290.0,12.0,Economical,Positive
136,136,IFB,6.5, Fully Automatic Front Load,700.0,4.5,White,30990.0,33.0,Premium,Positive
137,137,SAMSUNG,9.5, Semi Automatic Top Load,1000.0,4.3,Blue,15700.0,24.0,Economical,Positive
138,138,Godrej,7.2, Semi Automatic Top Load,1000.0,4.3,White,10590.0,14.0,Economical,Positive
139,139,LG,6.0, Semi Automatic Top Load,1400.0,4.4,White,11499.0,14.0,Economical,Positive
140,140,Godrej,6.0, Fully Automatic Top Load,670.0,3.8,Grey,13690.0,14.0,Economical,Average
141,141,LG,7.5, Semi Automatic Top Load,1000.0,3.8,White,14490.0,17.0,Economical,Average
142,142,Godrej,7.0, Fully Automatic Top Load,1350.0,4.2,Grey,17990.0,10.0,Economical,Positive
143,143,White,9.0, Semi Automatic Top Load,680.0,5.0,Grey,10499.0,10.0,Economical,Excellent
144,144,LG,8.0,Washer with Dryer,670.0,4.5, Indigo,25215.0,12.0,Premium,Positive
145,145,IFB,8.5, Fully Automatic Front Load,1400.0,4.4,White,41290.0,10.0,Premium,Positive
146,146,MarQ,7.0, Fully Automatic Top Load,1300.0,4.3,Grey,14290.0,36.0,Economical,Positive
147,147,IFB,6.5, Fully Automatic Front Load,700.0,4.4,White,32290.0,21.0,Premium,Positive
148,148,LG,7.5, Semi Automatic Top Load,1450.0,4.4,White,13940.0,31.0,Economical,Positive
149,149,Haier,8.0, Fully Automatic Top Load,700.0,4.3,Grey,18990.0,12.0,Economical,Positive
150,150,LG,7.0, Semi Automatic Top Load,1300.0,4.5,Blue,13800.0,18.0,Economical,Positive
151,151,Whirlpool,7.5, Fully Automatic Top Load,800.0,4.3,Grey,24590.0,14.0,Premium,Positive
152,152,White,5.0, Fully Automatic Front Load,1400.0,4.4,White,28499.0,25.0,Premium,Positive
153,153,LG,7.0, Fully Automatic Top Load,680.0,4.2,Silver,22990.0,23.0,Premium,Positive
154,154,Whirlpool,8.5, Semi Automatic Top Load,1400.0,4.4,White,14890.0,30.0,Economical,Positive
155,155,Thomson,8.5, Semi Automatic Top Load,1200.0,4.1,Grey,10590.0,1.0,Economical,Positive
156,156,Whirlpool,6.5, Fully Automatic Top Load,780.0,4.2,Grey,19490.0,4.0,Economical,Positive
157,157,LG,7.5, Fully Automatic Top Load,740.0,4.3,Silver,18560.0,14.0,Economical,Positive
158,158,SAMSUNG,7.0, Fully Automatic Top Load,740.0,4.2,Silver,19990.0,43.0,Economical,Positive
159,159,Panasonic,6.5, Semi Automatic Top Load,700.0,4.3,Blue,9290.0,14.0,Economical,Positive
160,160,CANDY,6.5, Semi Automatic Top Load,700.0,4.2,Blue,7590.0,35.0,Economical,Positive
161,161,SAMSUNG,7.2, Semi Automatic Top Load,1000.0,4.4,White,10490.0,8.0,Economical,Positive
162,162,IFB,6.0, Fully Automatic Front Load,680.0,4.3,White,21990.0,32.0,Premium,Positive
163,163,Whirlpool,6.5, Fully Automatic Top Load,700.0,4.1,Grey,15990.0,26.0,Economical,Positive
164,164,LG,8.0, Fully Automatic Front Load,1300.0,4.4,Silver,34990.0,20.0,Premium,Positive
165,165,Thomson,9.0, Fully Automatic Top Load,1300.0,4.1,Grey,16990.0,19.0,Economical,Positive
166,166,Whirlpool,7.0, Semi Automatic Top Load,1200.0,4.4,Red,11039.0,8.0,Economical,Positive
167,167,Whirlpool,7.5, Semi Automatic Top Load,1400.0,3.6,Grey,13490.0,25.0,Economical,Average
168,168,SAMSUNG,7.2, Semi Automatic Top Load,1000.0,4.4,White,10490.0,19.0,Economical,Positive
169,169,BOSCH,8.0, Fully Automatic Front Load,680.0,4.4,White,33990.0,32.0,Premium,Positive
170,170,LG,10.0, Semi Automatic Top Load,1000.0,4.5,White,19990.0,9.0,Economical,Positive
171,171,IFB,7.0, Fully Automatic Front Load,1400.0,4.2,White,29990.0,13.0,Premium,Positive
172,172,LG,9.0, Fully Automatic Front Load,1300.0,4.4,Black,43990.0,22.0,Premium,Positive
173,173,Whirlpool,7.5, Semi Automatic Top Load,1400.0,3.6,Grey,13490.0,18.0,Economical,Average
174,174,Thomson,8.5, Semi Automatic Top Load,1400.0,4.1,Grey,10590.0,18.0,Economical,Positive
175,175,Motorola,5.5,Washer with Dryer,1400.0,4.1,Blue,39490.0,45.0,Premium,Positive
176,176,BOSCH,6.0, Fully Automatic Front Load,700.0,4.4,Silver,26990.0,27.0,Premium,Positive
177,177,LG,8.0, Semi Automatic Top Load,740.0,4.0,Grey,15590.0,10.0,Economical,Positive
178,178,realme,8.0,Washer with Dryer,1200.0,4.2,Maroon,29490.0,39.0,Premium,Positive
179,179,LG,7.0, Fully Automatic Top Load,1350.0,4.4,Black,23990.0,17.0,Premium,Positive
180,180,Sansui,6.0, Fully Automatic Top Load,1400.0,4.0,Grey,12990.0,27.0,Economical,Positive
181,181,LG,8.0, Fully Automatic Front Load,1000.0,5.0,Silver,39800.0,23.0,Premium,Excellent
182,182,Panasonic,6.0, Fully Automatic Top Load,1000.0,4.3,Grey,13700.0,31.0,Economical,Positive
183,183,IFB,6.0, Fully Automatic Front Load,800.0,4.3,White,27990.0,12.0,Premium,Positive
184,184,Galanz,8.0, Fully Automatic Front Load,1200.0,4.0,White,28540.0,18.0,Premium,Positive
185,185,LG,8.0, Fully Automatic Front Load,700.0,4.2,Black,38568.0,26.0,Premium,Positive
186,186,MarQ,6.5, Fully Automatic Top Load,1400.0,4.3,Grey,13690.0,14.0,Economical,Positive
187,187,Panasonic,7.0, Semi Automatic Top Load,1350.0,4.3,White,10490.0,9.0,Economical,Positive
188,188,Whirlpool,6.5, Fully Automatic Top Load,1200.0,4.3,Grey,17990.0,16.0,Economical,Positive
189,189,Thomson,7.5, Semi Automatic Top Load,1400.0,4.1,Grey,8990.0,18.0,Economical,Positive
190,190,Lloyd,6.5, Semi Automatic Top Load,1400.0,4.4,Grey,8790.0,26.0,Economical,Positive
191,191,LG,10.0, Semi Automatic Top Load,1400.0,4.5,White,19490.0,9.0,Economical,Positive
192,192,LG,6.5, Fully Automatic Top Load,1200.0,4.4,Silver,20490.0,9.0,Premium,Positive
193,193,SAMSUNG,8.0, Fully Automatic Front Load,800.0,4.3,White,36990.0,15.0,Premium,Positive
194,194,MarQ,7.5, Semi Automatic Top Load,780.0,4.3,Maroon,9690.0,18.0,Economical,Positive
195,195,IFB,8.5,Washer with Dryer,1400.0,4.5,Black,42490.0,17.0,Premium,Positive
196,196,LG,8.0, Fully Automatic Front Load,680.0,4.2,Black,38690.0,31.0,Premium,Positive
197,197,Haier,7.0, Fully Automatic Top Load,1000.0,4.3,Grey,15290.0,13.0,Economical,Positive
198,198,LG,6.5, Fully Automatic Front Load,1000.0,3.8,Silver,32990.0,19.0,Premium,Average
199,199,BOSCH,6.0, Fully Automatic Front Load,800.0,4.4,White,23499.0,32.0,Premium,Positive
200,200,LG,7.0, Fully Automatic Top Load,1300.0,4.2,Silver,19499.0,21.0,Economical,Positive
201,201,LG,7.0, Fully Automatic Front Load,1200.0,4.6,Silver,33400.0,37.0,Premium,Excellent
202,202,IFB,7.0, Fully Automatic Front Load,1000.0,4.2,White,29990.0,13.0,Premium,Positive
203,203,Haier,7.0, Semi Automatic Top Load,1400.0,4.2,White,9690.0,15.0,Economical,Positive
